stationID,date,time,PM2_5,PM10,O3,CO,NO2,SO2
18t,01/03/2019,00:00:00,22,36,-,-,-,-
18t,01/03/2019,01:00:00,25,39,44,0.02,3,2
18t,01/03/2019,02:00:00,22,36,44,0.03,4,2
18t,01/03/2019,03:00:00,24,34,39,0.05,6,-
18t,01/03/2019,04:00:00,24,40,33,0.12,10,-
18t,01/03/2019,05:00:00,24,40,29,0.18,14,-
18t,01/03/2019,06:00:00,29,41,21,0.35,27,-
18t,01/03/2019,07:00:00,33,53,26,0.36,23,1
18t,01/03/2019,08:00:00,28,54,37,0.16,12,-
18t,01/03/2019,09:00:00,28,43,42,0.07,6,-
18t,01/03/2019,10:00:00,22,38,40,0.08,5,-
18t,01/03/2019,11:00:00,27,36,42,0.04,5,-
18t,01/03/2019,12:00:00,19,33,43,0.06,5,-
18t,01/03/2019,13:00:00,22,34,45,0.02,3,-
18t,01/03/2019,14:00:00,22,39,-,-,-,-
18t,01/03/2019,15:00:00,22,33,40,-,-,-
18t,01/03/2019,16:00:00,22,34,-,-,-,-
18t,01/03/2019,17:00:00,28,33,-,0.1,7,-
18t,01/03/2019,18:00:00,23,46,28,0.19,12,-
18t,01/03/2019,19:00:00,20,43,31,0.17,11,-
18t,01/03/2019,20:00:00,24,43,30,0.14,10,-
18t,01/03/2019,21:00:00,24,42,31,0.08,6,-
18t,01/03/2019,22:00:00,24,38,34,0.06,3,-
18t,01/03/2019,23:00:00,19,35,33,0.05,4,-
18t,02/03/2019,00:00:00,20,34,36,0.05,3,-
18t,02/03/2019,01:00:00,22,35,-,-,-,-
18t,02/03/2019,02:00:00,22,34,43,0.07,4,1
18t,02/03/2019,03:00:00,28,39,41,0.13,8,-
18t,02/03/2019,04:00:00,28,44,37,0.14,9,-
18t,02/03/2019,05:00:00,29,42,34,0.19,12,-
18t,02/03/2019,06:00:00,29,47,33,0.18,12,-
18t,02/03/2019,07:00:00,33,48,36,0.15,9,-
18t,02/03/2019,08:00:00,28,42,38,0.08,9,-
18t,02/03/2019,09:00:00,20,43,41,0.08,5,-
18t,02/03/2019,10:00:00,23,37,35,0.06,8,-
18t,02/03/2019,11:00:00,25,38,39,0.09,7,-
18t,02/03/2019,12:00:00,26,39,40,0.07,4,-
